0 0 0  1 5 5 5
48 0 0  1 50 50 50
48 80 0  0
48 80 80  1 45 45 45
128 80 80  0
128 0 80  0
128 0 0  0
90 90 -101  0
100 90 -101  0
100 90 -91  0
100 130 -91  0
60 130 -91  0
60 130 -51  0
60 210 -51  0
70 210 -51  0
70 215 -51  0
75 215 -51  0
75 215 -31  0
70 215 -31  0
70 220 -31  0
65 220 -31  0
65 220 -26  0
65 203 -26  0
65 203 -3  0
59 211 -3  0
59 219 3  0
65 227 3  0
65 235 -3  0
62 239 -3  0
62 243 0  0
65 247 0  0
65 251 -3  0
65 281 -3  0
70 281 -3  0
70 281 -8  0
70 311 -8  0
65 311 -8  0
65 311 -3  0
65 331 -3  0
62 331 -1  0
59 331 -3  0
56 331 -1  0
53 331 -3  0
53 411 -3  0
59 419 -3  0
51 425 -3  0
45 417 -3  0
53 411 -3  0
53 417 5  0
53 425 -1  0
53 419 -9  0
53 411 -3  0
53 496 -3  0
-50 617 -25  0
-50 596 -25  0
-50 596 -20  0
-45 596 -20  0
-45 596 -25  0
-50 596 -25  0
-50 576 -25  0
-50 576 -20  0
-55 576 -20  0
-55 576 -25  0
-50 576 -25  0
-50 561 -25  0
-50 561 -30  0
-40 561 -30  0
-40 561 -40  0
-22 544 -57  0
-32 544 -57  0
-50 561 -40  0
-40 561 -40  0
-22 544 -57  0
-32 544 -57  0
-50 561 -40  0
-40 561 -40  0
-40 481 -40  0
-20 481 -40  0
-20 481 -20  0
0 481 -20  0
0 481 0  0
0 280 0  0
